订单编码,订单日期,客户编码,所在区域,所在省份,所在地市,商品编号,订购数量,订购单价,金额
D28738,2019-05-28,S15863,北区,辽宁,大连市,X049,1136.0,226.0,256736.0
D22470,2019-04-13,S23019,东区,浙江,宁波市,X052,1644.0,102.0,167688.0
D25393,2019-05-09,S20504,南区,广东,中山市,X050,1634.0,143.0,233662.0
D23629,2019-02-26,S11423,东区,江苏,苏州市,X066,1775.0,113.0,200575.0
D34014,2019-08-09,S13298,东区,安徽,安庆市,X079,1373.0,128.0,175744.0
D21374,2019-08-04,S14319,北区,山东,临沂市,X070,1160.0,242.0,280720.0
D26537,2019-02-07,S16284,南区,江西,南昌市,X050,1501.0,143.0,214643.0
D28217,2019-04-07,S13115,南区,广东,东莞市,X062,1094.0,239.0,261466.0
D27643,2019-04-12,S13589,西区,重庆市,重庆市,X001,910.0,121.0,110110.0
D32392,2019-05-09,S22702,西区,重庆市,重庆市,X040,1276.0,142.0,181192.0
D28330,2019-09-26,S12118,北区,辽宁,本溪市,X095,972.0,107.0,104004.0
D33276,2019-08-04,S22173,北区,河北,廊坊市,X050,615.0,143.0,87945.0
D30966,2019-09-26,S21278,西区,陕西,西安市,X044,1679.0,174.0,292146.0
D30039,2019-09-15,S13281,南区,湖南,长沙市,X059,1783.0,56.0,99848.0
D27063,2019-08-10,S16649,南区,江西,南昌市,X031,1410.0,86.0,121260.0
D25809,2019-07-14,S13102,西区,云南,丽江市,X056,258.0,233.0,60114.0
D21437,2019-02-04,S16915,北区,河北,廊坊市,X031,438.0,86.0,37668.0
D21694,2019-08-04,S14260,东区,上海市,上海市,X055,942.0,222.0,209124.0
D26641,2019-06-19,S15155,西区,贵州,黔南州,X040,885.0,142.0,125670.0
D28450,2019-07-30,S14892,西区,四川,广安市,X055,99.0,222.0,21978.0
D30110,2019-02-23,S20792,东区,安徽,蚌埠市,X027,924.0,164.0,151536.0
D23734,2019-04-28,S21250,北区,北京市,北京市,X023,1195.0,235.0,280825.0
D28368,2019-07-14,S18364,北区,辽宁,沈阳市,X041,998.0,212.0,211576.0
D24406,2019-04-30,S14953,东区,江苏,南京市,X002,1453.0,141.0,204873.0
D24491,2019-04-06,S10141,东区,江苏,苏州市,X051,522.0,203.0,105966.0
D22243,2019-05-15,S17864,东区,浙江,温州市,X076,1322.0,115.0,152030.0
D25680,2019-04-17,S10966,南区,湖南,长沙市,X061,482.0,203.0,97846.0
D21419,2019-02-11,S19139,北区,河南,驻马店市,X085,1267.0,233.0,295211.0
D28873,2019-07-26,S14689,东区,江苏,无锡市,X056,334.0,233.0,77822.0
D22272,2019-06-01,S13578,东区,上海市,上海市,X042,1223.0,159.0,194457.0
D23947,2019-05-24,S12869,北区,河北,唐山市,X010,790.0,58.0,45820.0
D28875,2019-08-04,S23313,西区,四川,南充市,X024,1442.0,235.0,338870.0
D21932,2019-01-07,S19657,北区,河北,邯郸市,X069,1578.0,251.0,396078.0
D21637,2019-08-17,S20853,东区,江苏,泰州市,X026,841.0,101.0,84941.0
D25941,2019-06-28,S19738,东区,江苏,徐州市,X002,934.0,141.0,131694.0
D25675,2019-09-06,S21747,南区,广东,深圳市,X064,246.0,150.0,36900.0
D22040,2019-07-09,S18131,东区,浙江,绍兴市,X008,573.0,119.0,68187.0
D27924,2019-08-04,S14821,东区,江苏,扬州市,X024,677.0,235.0,159095.0
D32352,2019-06-17,S13200,南区,广西,南宁市,X066,2007.0,113.0,226791.0
D21552,2019-07-22,S19493,南区,广西,南宁市,X051,1261.0,203.0,255983.0
D31753,2019-04-17,S15105,东区,江苏,泰州市,X020,1830.0,100.0,183000.0
D27872,2019-04-21,S12871,东区,安徽,安庆市,X020,1249.0,100.0,124900.0
D23567,2019-07-20,S10983,东区,江苏,南京市,X104,972.0,185.0,179820.0
D26264,2019-05-30,S22502,南区,福建,三明市,X095,822.0,107.0,87954.0
D28337,2019-07-22,S22631,东区,江苏,淮安市,X024,1242.0,235.0,291870.0
D28986,2019-06-27,S12719,南区,广东,广州市,X003,228.0,168.0,38304.0
D23846,2019-05-19,S12453,南区,广东,广州市,X039,49.0,108.0,5292.0
D24228,2019-04-15,S21595,西区,四川,自贡市,X008,312.0,119.0,37128.0
D22792,2019-06-11,S20675,南区,湖南,永州市,X072,1405.0,62.0,87110.0
D26017,2019-06-25,S14106,东区,江苏,常州市,X072,943.0,62.0,58466.0
D29882,2019-08-04,S19170,西区,新疆,克拉玛依市,X018,1816.0,212.0,384992.0
D30895,2019-02-05,S15092,东区,江苏,扬州市,X069,592.0,251.0,148592.0
D21879,2019-07-05,S22973,北区,山东,威海市,X046,1435.0,241.0,345835.0
D21479,2019-08-04,S16365,南区,广东,湛江市,X067,652.0,212.0,138224.0
D23381,2019-09-22,S17133,东区,江苏,宿迁市,X091,1136.0,214.0,243104.0
D27771,2019-05-28,S20581,南区,广东,肇庆市,X044,971.0,174.0,168954.0
D32063,2019-09-01,S21939,北区,山东,淄博市,X021,136.0,59.0,8024.0
D28610,2019-06-04,S20442,南区,广东,江门市,X069,804.0,251.0,201804.0
D30579,2019-04-25,S21325,西区,云南,昆明市,X054,1412.0,83.0,117196.0
D22939,2019-01-16,S19759,西区,贵州,黔东南州,X059,1872.0,56.0,104832.0
D32879,2019-05-31,S16573,西区,陕西,宝鸡市,X046,938.0,241.0,226058.0
D22909,2019-05-17,S15908,西区,四川,自贡市,X017,569.0,213.0,121197.0
D33099,2019-07-24,S10419,南区,广东,佛山市,X010,202.0,58.0,11716.0
D30784,2019-06-17,S14854,东区,浙江,嘉兴市,X044,1373.0,174.0,238902.0
D30544,2019-09-30,S15535,东区,江苏,南京市,X075,883.0,126.0,111258.0
D21875,2019-07-14,S19718,西区,陕西,咸阳市,X054,766.0,83.0,63578.0
D23603,2019-08-23,S10223,西区,四川,攀枝花市,X079,1339.0,128.0,171392.0
D27945,2019-09-12,S21696,西区,四川,成都市,X051,606.0,203.0,123018.0
D26835,2019-04-07,S17325,西区,四川,德阳市,X026,683.0,101.0,68983.0
D27003,2019-04-06,S22693,西区,四川,德阳市,X017,1041.0,213.0,221733.0
D22033,2019-02-27,S14783,东区,江苏,苏州市,X095,658.0,107.0,70406.0
D27489,2019-04-22,S12270,东区,江苏,淮安市,X089,245.0,104.0,25480.0
D25434,2019-01-11,S16184,南区,广西,北海市,X068,664.0,225.0,149400.0
D25521,2019-08-31,S15116,南区,广东,清远市,X024,754.0,235.0,177190.0
D24308,2019-09-22,S10283,西区,云南,昆明市,X042,694.0,159.0,110346.0
D31674,2019-07-24,S17439,南区,江西,南昌市,X015,1221.0,151.0,184371.0
D27620,2019-04-16,S23249,北区,山东,烟台市,X047,778.0,192.0,149376.0
D25312,2019-08-23,S20391,东区,上海市,上海市,X050,254.0,143.0,36322.0
D24868,2019-02-26,S12572,南区,广东,深圳市,X004,1485.0,211.0,313335.0
D28082,2019-07-01,S10594,东区,浙江,杭州市,X054,1689.0,83.0,140187.0
D33204,2019-08-04,S22814,东区,浙江,杭州市,X061,248.0,203.0,50344.0
D30144,2019-07-27,S19916,北区,辽宁,盘锦市,X077,153.0,247.0,37791.0
D24212,2019-06-19,S15014,西区,重庆市,重庆市,X042,389.0,159.0,61851.0
D23002,2019-05-12,S12746,东区,浙江,金华市,X047,496.0,192.0,95232.0
D26707,2019-08-04,S14362,东区,江苏,苏州市,X051,1435.0,203.0,291305.0
D31365,2019-08-04,S15071,西区,四川,眉山市,X046,44.0,241.0,10604.0
D28946,2019-09-25,S20083,东区,安徽,宿州市,X037,107.0,195.0,20865.0
D25511,2019-01-22,S22146,北区,河北,沧州市,X044,938.0,174.0,163212.0
D30534,2019-06-29,S11874,南区,广东,深圳市,X079,896.0,128.0,114688.0
D25170,2019-05-24,S14649,南区,广东,广州市,X048,692.0,61.0,42212.0
D21574,2019-04-08,S17095,东区,江苏,南通市,X011,888.0,226.0,200688.0
D23347,2019-01-25,S19409,南区,广东,广州市,X028,1258.0,140.0,176120.0
D27146,2019-05-27,S20992,西 区,陕西,渭南市,X016,1604.0,99.0,158796.0
D33752,2019-09-25,S16489,北区,河南,三门峡市,X006,338.0,159.0,53742.0
D25258,2019-05-19,S10596,北区,北京市,北京市,X015,678.0,151.0,102378.0
D30680,2019-08-04,S15187,北区,北京市,北京市,X050,355.0,143.0,50765.0
D21954,2019-08-11,S14207,西 区,四川,南充市,X024,137.0,235.0,32195.0
D31539,2019-08-06,S10594,东区,浙江,杭州市,X106,613.0,224.0,137312.0
D23735,2019-01-03,S20497,南区,福建,泉州市,X045,1140.0,205.0,233700.0
D24592,2019-07-03,S14630,东区,江苏,无锡市,X027,1146.0,164.0,187944.0
D21310,2019-01-25,S13238,南区,广西,百色市,X072,448.0,62.0,27776.0
D21637,2019-08-17,S20853,东区,江苏,泰州市,X088,859.0,125.0,107375.0
D21613,2019-09-07,S11955,西 区,四川,自贡市,X008,1031.0,119.0,122689.0
D30544,2019-09-30,S15535,东区,江苏,南京市,X089,362.0,104.0,37648.0
D24170,2019-08-12,S18696,北区,北京市,北京市,X018,1868.0,212.0,396016.0
D23112,2019-07-18,S21325,西 区,云南,昆明市,X103,925.0,202.0,186850.0
D30123,2019-06-21,S16130,东区,江苏,南通市,X035,996.0,76.0,75696.0
D30127,2019-04-04,S22050,南区,广东,深圳市,X003,1220.0,168.0,204960.0
D32162,2019-09-12,S22173,北区,河北,廊坊市,X071,1931.0,253.0,488543.0
D27459,2019-09-23,S18189,东区,浙江,嘉兴市,X069,463.0,251.0,116213.0
D24142,2019-05-04,S14213,南区,广东,广州市,X038,728.0,102.0,74256.0
D27736,2019-08-05,S22618,南区,广东,江门市,X072,1576.0,62.0,97712.0
D30967,2019-09-03,S11411,东区,江苏,苏州市,X005,357.0,185.0,66045.0
D28629,2019-04-12,S19375,东区,江苏,苏州市,X071,959.0,253.0,242627.0
D31608,2019-01-31,S17389,北区,辽宁,沈阳市,X053,2000.0,104.0,208000.0
D25362,2019-06-25,S11671,北区,吉林,长春市,X072,1414.0,62.0,87668.0
D24584,2019-04-01,S19512,北区,北京市,北京市,X072,1122.0,62.0,69564.0
D25426,2019-06-14,S22578,东区,江苏,苏州市,X060,1124.0,102.0,114648.0
D24189,2019-05-05,S15283,东区,浙江,绍兴市,X067,835.0,212.0,177020.0
D32487,2019-06-20,S22123,西 区,四川,广元市,X029,1141.0,154.0,175714.0
D26115,2019-09-08,S15631,南区,江西,南昌市,X041,138.0,212.0,29256.0
D27448,2019-01-11,S20261,西 区,陕西,西安市,X010,455.0,58.0,26390.0
D23086,2019-09-30,S22515,南区,福建,泉州市,X014,503.0,86.0,43258.0
D24686,2019-08-13,S13571,北区,天津市,天津市,X011,465.0,226.0,105090.0
D21260,2019-02-25,S15317,南区,海南,海南省直辖,X018,1032.0,212.0,218784.0
D21410,2019-05-08,S10710,西 区,陕西,安康市,X045,1157.0,205.0,237185.0
D33413,2019-01-08,S16940,东区,湖北,武汉市,X041,359.0,212.0,76108.0
D31390,2019-08-30,S20644,东区,江苏,苏州市,X037,656.0,195.0,127920.0
D31235,2019-04-10,S12804,北区,河北,沧州市,X099,1192.0,108.0,128736.0
D22175,2019-01-05,S11685,西 区,云南,临沧市,X019,1212.0,210.0,254520.0
D29167,2019-02-02,S18224,南区,广东,深圳市,X014,688.0,86.0,59168.0
D33401,2019-01-24,S21647,南区,广东,湛江市,X048,554.0,61.0,33794.0
D29153,2019-07-24,S10355,南区,江西,赣州市,X027,950.0,164.0,155800.0
D24669,2019-07-18,S20644,东区,江苏,苏州市,X018,302.0,212.0,64024.0
D22445,2019-01-28,S20083,东区,安徽,宿州市,X022,1202.0,158.0,189916.0
D31369,2019-08-04,S21964,南区,广东,江门市,X003,583.0,168.0,97944.0
D21688,2019-02-18,S10989,南区,福建,泉州市,X023,645.0,235.0,151575.0
D22166,2019-06-23,S17092,南区,广东,深圳市,X038,1321.0,102.0,134742.0
D31885,2019-04-28,S18020,东区,江苏,南京市,X037,775.0,195.0,151125.0
D28050,2019-01-30,S19706,南区,广西,梧州市,X021,858.0,59.0,50622.0
D24034,2019-08-04,S10859,东区,江苏,南通市,X067,683.0,212.0,144796.0
D23442,2019-07-10,S14207,西 区,四川,南充市,X019,595.0,210.0,124950.0
D28361,2019-06-27,S18696,北区,北京市,北京市,X041,1260.0,212.0,267120.0
D24761,2019-06-04,S11024,西 区,四川,成都市,X035,1725.0,76.0,131100.0
D30670,2019-05-10,S19493,南区,广西,南宁市,X059,828.0,56.0,46368.0
D29323,2019-05-08,S12578,南区,广西,桂林市,X050,206.0,143.0,29458.0
D24036,2019-08-24,S17236,东区,上海市,上海市,X029,1086.0,154.0,167244.0
D25542,2019-06-21,S10966,南区,湖南,长沙市,X010,1752.0,58.0,101616.0
D23202,2019-08-04,S15908,西 区,四川,自贡市,X042,1174.0,159.0,186666.0
D32507,2019-06-27,S16440,西 区,宁夏,银川市,X094,1679.0,94.0,157826.0
D28971,2019-09-10,S20281,西 区,云南,临沧市,X035,1128.0,76.0,85728.0
D24120,2019-06-30,S17559,南区,广东,深圳市,X005,59.0,185.0,10915.0
D31814,2019-01-25,S15352,西 区,重庆市,重庆市,X022,1377.0,158.0,217566.0
D24008,2019-06-17,S23249,北区,山东,烟台市,X005,964.0,185.0,178340.0
D29549,2019-06-13,S12331,北区,山东,潍坊市,X051,875.0,203.0,177625.0
D32317,2019-06-26,S15702,东区,上海市,上海市,X050,728.0,143.0,104104.0
D22708,2019-04-19,S10141,东区,江苏,苏州市,X011,1882.0,226.0,425332.0
D21521,2019-04-21,S22854,东区,江苏,苏州市,X069,1701.0,251.0,426951.0
D27142,2019-04-03,S15066,西 区,四川,南充市,X061,1353.0,203.0,274659.0
D23093,2019-06-22,S11051,东区,浙江,杭州市,X079,809.0,128.0,103552.0
D28779,2019-06-26,S11447,南区,广东,广州市,X018,919.0,212.0,194828.0
D30112,2019-05-16,S19123,北区,山东,日照市,X044,864.0,174.0,150336.0
D28374,2019-05-23,S19605,北区,山西,大同市,X088,711.0,125.0,88875.0
D26627,2019-08-08,S19969,北区,北京市,北京市,X021,900.0,59.0,53100.0
D33917,2019-06-30,S19445,东区,江苏,镇江市,X018,441.0,212.0,93492.0
D24913,2019-05-15,S11188,南区,江西,新余市,X054,475.0,83.0,39425.0
D25379,2019-08-26,S20417,东区,湖北,襄阳市,X083,896.0,208.0,186368.0
D30067,2019-07-01,S21358,东区,浙江,杭州市,X026,1221.0,101.0,123321.0
D24784,2019-08-04,S11827,东区,江苏,无锡市,X009,95.0,92.0,8740.0
D28858,2019-07-14,S11460,东区,安徽,宿州市,X042,536.0,159.0,85224.0
D31745,2019-07-12,S17720,东区,湖北,黄冈市,X062,727.0,239.0,173753.0
D32083,2019-05-27,S19375,东区,江苏,苏州市,X067,303.0,212.0,64236.0
D25620,2019-02-12,S13802,东区,江苏,盐城市,X022,178.0,158.0,28124.0
D31823,2019-02-26,S19593,南区,广东,广州市,X046,81.0,241.0,19521.0
D23297,2019-06-03,S10325,南区,福建,福州市,X018,1183.0,212.0,250796.0
D24128,2019-02-04,S11827,东区,江苏,无锡市,X083,776.0,208.0,161408.0
D30072,2019-06-09,S10098,南区,广西,柳州市,X068,1072.0,225.0,241200.0
D26229,2019-02-16,S22887,南区,江西,九江市,X075,167.0,126.0,21042.0
D23672,2019-04-14,S17229,北区,山西,大同市,X046,973.0,241.0,234493.0
D31613,2019-02-07,S17651,南区,广东,佛山市,X046,892.0,241.0,214972.0
D23446,2019-06-14,S16312,东区,浙江,台州市,X029,739.0,154.0,113806.0
D25879,2019-08-21,S10419,南区,广东,佛山市,X050,995.0,143.0,142285.0
D30749,2019-05-01,S13061,东区,浙江,宁波市,X101,691.0,173.0,119543.0
D23661,2019-04-13,S15014,西 区,重庆市,重庆市,X071,1698.0,253.0,429594.0
D29970,2019-08-02,S10905,南区,广东,广州市,X003,103.0,168.0,17304.0
D24927,2019-09-21,S13234,东区,安徽,铜陵市,X080,369.0,72.0,26568.0
D26774,2019-07-11,S20286,东区,安徽,合肥市,X071,415.0,253.0,104995.0
D29382,2019-01-16,S11955,西 区,四川,自贡市,X048,904.0,61.0,55144.0
D25176,2019-07-23,S12163,南区,广西,桂林市,X083,978.0,208.0,203424.0
D30516,2019-07-26,S15966,南区,福建,厦门市,X035,980.0,76.0,74480.0
D28382,2019-09-12,S18131,东区,浙江,绍兴市,X044,916.0,174.0,159384.0
D31110,2019-07-26,S22744,东区,江苏,常州市,X037,1509.0,195.0,294255.0
D25705,2019-09-11,S12471,东区,安徽,合肥市,X089,1969.0,104.0,204776.0
D28615,2019-07-25,S15910,北区,河南,三门峡市,X064,498.0,150.0,74700.0
D24243,2019-09-06,S13870,南区,湖南,衡阳市,X106,563.0,224.0,126112.0
D21225,2019-08-04,S15865,东区,湖北,孝感市,X030,139.0,237.0,32943.0
D24249,2019-08-05,S12176,南区,广东,广州市,X059,127.0,56.0,7112.0
D23997,2019-02-14,S19956,东区,浙江,绍兴市,X050,1823.0,143.0,260689.0
D33076,2019-08-15,S15501,东区,安徽,亳州市,X049,393.0,226.0,88818.0
D31009,2019-07-16,S20141,南区,湖南,长沙市,X031,340.0,86.0,29240.0
D29060,2019-09-10,S14106,东区,江苏,常州市,X091,544.0,214.0,116416.0
D24530,2019-04-23,S16489,北区,河南,三门峡市,X011,1230.0,226.0,277980.0
D25194,2019-07-29,S17559,南区,广东,深圳市,X025,2233.0,102.0,227766.0
D28003,2019-05-14,S22035,北区,山东,临沂市,X036,1537.0,99.0,152163.0
D25776,2019-04-15,S17807,西 区,甘肃,酒泉市,X071,294.0,253.0,74382.0
D25257,2019-08-12,S18884,西 区,甘肃,兰州市,X067,1254.0,212.0,265848.0
D21671,2019-06-17,S22618,南区,广东,江门市,X037,1054.0,195.0,205530.0
D29815,2019-06-22,S21735,东区,江苏,南通市,X037,932.0,195.0,181740.0
D24123,2019-06-27,S14453,东区,江苏,无锡市,X039,650.0,108.0,70200.0
D28127,2019-02-16,S17072,东区,江苏,苏州市,X018,392.0,212.0,83104.0
D21866,2019-01-25,S19580,南区,福建,厦门市,X030,316.0,237.0,74892.0
D30477,2019-01-02,S22973,北区,山东,威海市,X041,482.0,212.0,102184.0
D28112,2019-05-03,S20800,北区,山西,太原市,X024,307.0,235.0,72145.0
D24051,2019-08-04,S22035,北区,山东,临沂市,X031,591.0,86.0,50826.0
D31780,2019-09-19,S13498,北区,山东,枣庄市,X043,624.0,186.0,116064.0
D23273,2019-09-30,S17476,东区,湖北,武汉市,X009,220.0,92.0,20240.0
D21146,2019-07-28,S13568,东区,江苏,扬州市,X046,1529.0,241.0,368489.0
D24419,2019-07-10,S15275,北区,河北,张家口市,X051,1281.0,203.0,260043.0
D22921,2019-08-17,S17936,西 区,陕西,宝鸡市,X038,288.0,102.0,29376.0
D24539,2019-05-11,S11063,东区,江苏,无锡市,X007,750.0,213.0,159750.0
D26616,2019-08-04,S20261,西 区,陕西,西安市,X016,581.0,99.0,57519.0
D30073,2019-08-30,S22121,南区,广东,珠海市,X077,1219.0,247.0,301093.0
D25497,2019-09-08,S16237,西 区,云南,大理白族自治州,X086,1211.0,92.0,111412.0
D32876,2019-02-04,S18611,东区,江苏,宿迁市,X051,774.0,203.0,157122.0
D27749,2019-07-18,S13578,东区,上海市,上海市,X108,258.0,223.0,57534.0
D24003,2019-04-03,S22706,东区,江苏,南通市,X062,1205.0,239.0,287995.0
D32800,2019-02-10,S21377,北区,山东,青岛市,X071,1538.0,253.0,389114.0
D22328,2019-02-15,S13281,南区,湖南,长沙市,X059,898.0,56.0,50288.0
D23089,2019-09-16,S22680,北区,河北,沧州市,X017,647.0,213.0,137811.0
D23153,2019-07-24,S13200,南区,广西,南宁市,X079,881.0,128.0,112768.0
D25807,2019-04-18,S13166,北区,山东,威海市,X008,803.0,119.0,95557.0
D32822,2019-07-11,S21267,北区,山东,潍坊市,X057,1603.0,245.0,392735.0
D30779,2019-05-12,S15066,西 区,四川,南充市,X040,832.0,142.0,118144.0
D31736,2019-07-20,S13643,南区,福建,南平市,X024,900.0,235.0,211500.0
D21725,2019-08-04,S18086,东区,上海市,上海市,X022,1041.0,158.0,164478.0
D24265,2019-08-04,S15071,西 区,四川,眉山市,X010,622.0,58.0,36076.0
D23169,2019-02-19,S21365,南区,湖南,永州市,X016,1026.0,99.0,101574.0
D24408,2019-08-04,S11176,南区,福建,泉州市,X020,474.0,100.0,47400.0
D21583,2019-04-29,S13886,东区,湖北,武汉市,X036,307.0,99.0,30393.0
D21992,2019-06-27,S16637,东区,江苏,无锡市,X033,1037.0,177.0,183549.0
D27494,2019-05-25,S17292,东区,浙江,杭州市,X011,1368.0,226.0,309168.0
D30302,2019-06-15,S21521,东区,上海市,上海市,X035,1672.0,76.0,127072.0
D32942,2019-05-08,S11671,北区,吉林,长春市,X008,539.0,119.0,64141.0
D25555,2019-06-01,S16637,东区,江苏,无锡市,X055,1160.0,222.0,257520.0
D28919,2019-07-04,S16548,南区,江西,南昌市,X058,1080.0,239.0,258120.0
D21307,2019-04-19,S10226,南区,广东,深圳市,X050,1900.0,143.0,271700.0
D21211,2019-05-17,S16548,南区,江西,南昌市,X048,1003.0,61.0,61183.0
D21765,2019-07-06,S20933,东区,江苏,宿迁市,X015,989.0,151.0,149339.0
D28451,2019-08-27,S22984,北区,山东,威海市,X023,1122.0,235.0,263670.0
D24544,2019-06-26,S20643,北区,河北,廊坊市,X004,1357.0,211.0,286327.0
D25228,2019-05-24,S13886,东区,湖北,武汉市,X088,772.0,125.0,96500.0
D31569,2019-07-04,S17063,东区,湖北,武汉市,X004,223.0,211.0,47053.0
D29428,2019-06-19,S22326,南区,广东,惠州市,X023,196.0,235.0,46060.0
D33074,2019-08-25,S14732,南区,广东,深圳市,X004,911.0,211.0,192221.0
D24980,2019-04-30,S14322,南区,广东,深圳市,X085,955.0,233.0,222515.0
D24962,2019-04-14,S15840,东区,江苏,宿迁市,X059,746.0,56.0,41776.0
D23655,2019-08-08,S15535,东区,江苏,南京市,X050,745.0,143.0,106535.0
D28715,2019-05-22,S16924,南区,广东,汕头市,X079,316.0,128.0,40448.0
D25845,2019-04-13,S17389,北区,辽宁,沈阳市,X086,742.0,92.0,68264.0
D21843,2019-04-23,S17207,东区,浙江,杭州市,X025,64.0,102.0,6528.0
D31744,2019-08-08,S10859,东区,江苏,南通市,X026,514.0,101.0,51914.0
D22165,2019-02-16,S15501,东区,安徽,亳州市,X061,494.0,203.0,100282.0
D23529,2019-05-30,S11285,东区,江苏,南京市,X038,15.0,102.0,1530.0
D21594,2019-02-12,S14421,西 区,重庆市,重庆市,X024,1619.0,235.0,380465.0
D23422,2019-08-04,S19460,东区,上海市,上海市,X027,1199.0,164.0,196636.0
D28212,2019-09-12,S21677,北区,山东,临沂市,X075,317.0,126.0,39942.0
D22005,2019-02-13,S10359,北区,山东,济南市,X059,478.0,56.0,26768.0
D27623,2019-06-14,S20830,北区,山东,烟台市,X046,1561.0,241.0,376201.0
D34064,2019-09-27,S18720,西 区,贵州,贵阳市,X003,1309.0,168.0,219912.0
D28998,2019-08-04,S15014,西 区,重庆市,重庆市,X026,336.0,101.0,33936.0
D23388,2019-01-25,S10016,西 区,贵州,遵义市,X036,570.0,99.0,56430.0
D22805,2019-05-05,S19514,北区,山西,长治市,X003,1097.0,168.0,184296.0
D24496,2019-09-27,S21120,南区,广东,深圳市,X077,741.0,247.0,183027.0
D24783,2019-02-27,S12418,东区,江苏,苏州市,X044,620.0,174.0,107880.0
D30316,2019-06-03,S15407,南区,广东,深圳市,X005,655.0,185.0,121175.0
D28205,2019-08-06,S11677,南区,江西,新余市,X095,850.0,107.0,90950.0
D26934,2019-09-08,S17021,东区,上海市,上海市,X059,772.0,56.0,43232.0
D23684,2019-08-14,S22955,南区,江西,萍乡市,X014,488.0,86.0,41968.0
D24493,2019-05-16,S22973,北区,山东,威海市,X045,2145.0,205.0,439725.0
D21299,2019-04-25,S23119,南区,江西,南昌市,X081,1282.0,204.0,261528.0
D22519,2019-01-29,S12471,东区,安徽,合肥市,X002,497.0,141.0,70077.0
D24540,2019-02-21,S13734,北区,山东,德州市,X003,947.0,168.0,159096.0
D24771,2019-06-04,S21531,东区,安徽,合肥市,X023,1084.0,235.0,254740.0
D21855,2019-09-04,S11506,南区,广东,珠海市,X087,1088.0,86.0,93568.0
D31665,2019-01-09,S18003,南区,福建,泉州市,X018,643.0,212.0,136316.0
D25712,2019-08-28,S13266,东区,安徽,蚌埠市,X070,846.0,242.0,204732.0
D27090,2019-09-09,S13589,西 区,重庆市,重庆市,X089,441.0,104.0,45864.0
D31245,2019-04-14,S13200,南区,广西,南宁市,X072,1032.0,62.0,63984.0
D29849,2019-01-03,S10966,南区,湖南,长沙市,X103,1152.0,202.0,232704.0
D25718,2019-02-08,S12118,北区,辽宁,本溪市,X015,824.0,151.0,124424.0
D25278,2019-08-27,S19890,南区,广东,汕尾市,X046,2114.0,241.0,509474.0
D27725,2019-02-17,S14357,西 区,四川,攀枝花市,X071,752.0,253.0,190256.0
D24977,2019-04-29,S14453,东区,江苏,无锡市,X021,66.0,59.0,3894.0
D32345,2019-05-17,S22963,东区,湖北,孝感市,X024,401.0,235.0,94235.0
